text,label
多少钱构成寻衅滋事罪,crime_elements
劳动合同法第38条第几款怎么规定的,article_query
停车被刮蹭找不到人怎么办,traffic_accident
贩卖毒品罪需要哪些证据才能定罪,crime_elements
麻烦讲讲受贿罪是什么罪,crime_definition
交通肇事罪最多判多少年,sentencing
贪污罪到底是怎么回事,crime_definition
犯了危险驾驶罪会判多久,sentencing
法律条文劳动合同法第38条是什么,article_query
争取抚养权需要什么条件,family_law
非法集资罪的犯罪构成是什么,crime_elements
贪污罪这个罪名怎么理解,crime_definition
抢劫罪的量刑标准是什么,sentencing
能给我解释一下交通肇事罪吗,crime_definition
抢劫罪一般判几年,sentencing
查一下民法典第1079条说了什么,article_query
职务侵占罪的主观要件是什么,crime_elements
帮忙科普一下偷税漏税罪,crime_definition
构成职务侵占罪需要满足什么条件,crime_elements
能通俗解释下偷税漏税罪吗,crime_definition
未成年犯盗窃罪怎么判,sentencing
我想知道非法拘禁罪指的是什么,crime_definition
受贿罪需要哪些证据才能定罪,crime_elements
消费者权益保护法第55条的条文内容,article_query
掩饰隐瞒犯罪所得罪判三缓四是什么意思,sentencing
对方出轨我能要求赔偿吗,family_law
怎么样才算构成故意杀人罪,crime_elements
能不能简单介绍一下贪污罪,crime_definition
刑法第133条是怎么规定的,article_query
我想了解一下故意伤害罪,crime_definition
构成非法拘禁罪需要满足什么条件,crime_elements
请问道路交通安全法第91条规定了什么,article_query
诈骗罪一般判几年,sentencing
职务侵占罪量刑时会考虑哪些因素,sentencing
帮我查一下民法典第1079条,article_query
偷税漏税罪有自首情节能减多少刑,sentencing
请提供道路交通安全法第91条的具体条文,article_query
请问劳动合同法第38条规定了什么,article_query
盗窃罪的定义是什么,crime_definition
非法集资罪这个罪名怎么理解,crime_definition
认定故意伤害罪要看哪些要件,crime_elements
寻衅滋事罪的定罪标准是什么,crime_elements
盗窃罪最少判多久,sentencing
在地铁站摔倒受伤谁来赔,civil_compensation
法律条文民法典第1183条是什么,article_query
能给我解释一下抢劫罪吗,crime_definition
抢劫罪属于什么类型的犯罪,crime_definition
抢劫罪的含义是什么,crime_definition
刑法第264条的内容是什么,article_query
交通肇事罪需要哪些证据才能定罪,crime_elements
盗窃罪的定罪标准是什么,crime_elements
抢劫罪是什么意思,crime_definition
非法集资罪需要哪些证据才能定罪,crime_elements
我想离婚需要走什么程序,family_law
开设赌场罪退赃了能从轻处罚吗,sentencing
帮助信息网络犯罪活动罪一般判几年,sentencing
刑事拘留最长多少天,criminal_procedure
非法拘禁罪有自首情节能减多少刑,sentencing
我想知道帮助信息网络犯罪活动罪指的是什么,crime_definition
请提供刑法第264条的具体条文,article_query
强奸罪这个罪名怎么理解,crime_definition
检察院不起诉是不是就没事了,criminal_procedure
非法拘禁罪的含义是什么,crime_definition
刑法第266条的条文内容,article_query
诈骗罪具体指什么,crime_definition
抢劫罪判三缓四是什么意思,sentencing
抢劫罪的定义是什么,crime_definition
危险驾驶罪的犯罪客体是什么,crime_elements
非法集资罪的定罪标准是什么,crime_elements
我想了解一下开设赌场罪,crime_definition
多少钱构成故意杀人罪,crime_elements
刑法第133条第几款怎么规定的,article_query
法院认定职务侵占罪主要看什么,crime_elements
我想看刑事诉讼法第67条全文,article_query
我想了解一下非法集资罪,crime_definition
寻衅滋事罪的立案标准是什么,crime_elements
保险公司拒赔怎么办,traffic_accident
能通俗解释下非法集资罪吗,crime_definition
强奸罪判三缓四是什么意思,sentencing
帮助信息网络犯罪活动罪的构成要件有哪些,crime_elements
非法集资罪法定刑是多少,sentencing
贪污罪的基准刑是多少,sentencing
我想知道开设赌场罪指的是什么,crime_definition
请问刑法第264条规定了什么,article_query
嗯嗯谢谢,thanks_bye
嗨,greeting
危险驾驶罪的基准刑是多少,sentencing
非法集资罪的量刑标准是什么,sentencing
受贿罪属于什么类型的犯罪,crime_definition
交通肇事罪的立案标准是什么,crime_elements
监视居住是什么意思,criminal_procedure
把民法典第1165条发给我看看,article_query
认定帮助信息网络犯罪活动罪要看哪些要件,crime_elements
能不能简单介绍一下开设赌场罪,crime_definition
敲诈勒索罪一般判几年,sentencing
帮我查一下民法典第1165条,article_query
好嘞，谢谢哈,thanks_bye
法院认定故意伤害罪主要看什么,crime_elements
贩卖毒品罪主体要件有哪些要求,crime_elements
查一下刑法第133条说了什么,article_query
怎么样才算构成抢劫罪,crime_elements
非法集资罪是什么意思,crime_definition
能给我解释一下寻衅滋事罪吗,crime_definition
非法拘禁罪是什么意思,crime_definition
盗窃十万元会判几年,sentencing
好的谢谢，再见,thanks_bye
帮我查一下民法典第1084条,article_query
婚前财产会被分割吗,family_law
帮助信息网络犯罪活动罪是什么意思,crime_definition
明白了，谢谢,thanks_bye
能给我解释一下开设赌场罪吗,crime_definition
贪污罪量刑时会考虑哪些因素,sentencing
帮我查一下民法典第1183条,article_query
非法集资罪的概念是什么,crime_definition
非法拘禁罪的构成要件有哪些,crime_elements
交通肇事罪最少判多久,sentencing
刑法第133条具体内容能贴一下吗,article_query
住院期间的护理费怎么算,civil_compensation
寻衅滋事罪到底是怎么回事,crime_definition
交通肇事罪的概念是什么,crime_definition
帮忙科普一下交通肇事罪,crime_definition
能不能简单介绍一下掩饰隐瞒犯罪所得罪,crime_definition
犯了职务侵占罪会判多久,sentencing
您好，我想问个问题,greeting
故意杀人罪的犯罪构成是什么,crime_elements
加班费怎么计算,labor_dispute
能不能简单介绍一下受贿罪,crime_definition
晚上好,greeting
能给我解释一下诈骗罪吗,crime_definition
掩饰隐瞒犯罪所得罪主体要件有哪些要求,crime_elements
怎么样才算构成危险驾驶罪,crime_elements
骑电动车被撞怎么索赔,traffic_accident
怎么样才算构成掩饰隐瞒犯罪所得罪,crime_elements
职务侵占罪的基准刑是多少,sentencing
查一下民法典第1191条说了什么,article_query
帮助信息网络犯罪活动罪的量刑标准是什么,sentencing
受贿罪的犯罪客体是什么,crime_elements
贩卖毒品罪属于什么类型的犯罪,crime_definition
危险驾驶罪有自首情节能减多少刑,sentencing
受贿罪的含义是什么,crime_definition
多少钱构成掩饰隐瞒犯罪所得罪,crime_elements
民法典第1062条讲的是什么,article_query
初犯故意伤害罪会轻判吗,sentencing
偷税漏税罪的概念是什么,crime_definition
涉案金额三万元，危险驾驶罪会怎么判,sentencing
电子合同有法律效力吗,contract_dispute
公司强迫加班怎么办,labor_dispute
刑法第234条讲的是什么,article_query
盗窃三万元会判几年,sentencing
多少钱构成开设赌场罪,crime_elements
刑法第264条第几款怎么规定的,article_query
贩卖毒品罪的犯罪客体是什么,crime_elements
构成帮助信息网络犯罪活动罪需要满足什么条件,crime_elements
受贿罪最多判多少年,sentencing
合同约定的违约金过高怎么办,contract_dispute
精神损失费一般能赔多少,civil_compensation
查一下刑法第264条说了什么,article_query
查一下劳动合同法第38条说了什么,article_query
谢谢，告辞了,thanks_bye
危险驾驶罪的立案标准是什么,crime_elements
初犯故意杀人罪会轻判吗,sentencing
敲诈勒索罪这个罪名怎么理解,crime_definition
帮我解释一下盗窃罪这个词,crime_definition
能给我解释一下故意伤害罪吗,crime_definition
故意伤害罪一般判几年,sentencing
敲诈勒索罪主体要件有哪些要求,crime_elements
麻烦讲讲职务侵占罪是什么罪,crime_definition
危险驾驶罪是什么意思,crime_definition
请问有人吗,greeting
刑法第264条具体内容能贴一下吗,article_query
能给我解释一下帮助信息网络犯罪活动罪吗,crime_definition
非法拘禁罪判死刑吗,sentencing
请问民法典第1165条规定了什么,article_query
故意伤害罪的构成要件有哪些,crime_elements
帮我查一下刑法第264条,article_query
民法典第1183条第几款怎么规定的,article_query
非法集资罪最多判多少年,sentencing
在饭店摔倒受伤谁来赔,civil_compensation
麻烦讲讲敲诈勒索罪是什么罪,crime_definition
故意杀人罪的定罪标准是什么,crime_elements
肇事逃逸会有什么后果,traffic_accident
诈骗罪的构成要件有哪些,crime_elements
合同上没有盖章生效吗,contract_dispute
查一下民法典第1084条说了什么,article_query
请问民法典第1062条规定了什么,article_query
你好，律师在吗,greeting
认定非法拘禁罪要看哪些要件,crime_elements
敲诈勒索罪的定义是什么,crime_definition
怎么样才算构成非法集资罪,crime_elements
敲诈勒索罪最多判多少年,sentencing
请问劳动合同法第46条规定了什么,article_query
公司拖欠工资怎么办,labor_dispute
贩卖毒品罪判死刑吗,sentencing
未成年犯强奸罪怎么判,sentencing
多少钱构成帮助信息网络犯罪活动罪,crime_elements
请问刑法第133条规定了什么,article_query
可以咨询吗,greeting
法院认定盗窃罪主要看什么,crime_elements
职务侵占罪法定刑是多少,sentencing
我想看劳动合同法第46条全文,article_query
初犯开设赌场罪会轻判吗,sentencing
抢劫罪到底是怎么回事,crime_definition
能给我解释一下非法拘禁罪吗,crime_definition
抢劫罪的定罪标准是什么,crime_elements
犯了故意杀人罪会判多久,sentencing
法院认定寻衅滋事罪主要看什么,crime_elements
怎么样才算构成非法拘禁罪,crime_elements
构成抢劫罪需要满足什么条件,crime_elements
盗窃罪的犯罪构成是什么,crime_elements
刑事拘留会留案底吗,criminal_procedure
帮我查一下刑法第266条,article_query
法律条文消费者权益保护法第55条是什么,article_query
寻衅滋事罪判死刑吗,sentencing
租房合同没到期房东要收房怎么办,contract_dispute
构成贩卖毒品罪需要满足什么条件,crime_elements
能不能简单介绍一下故意杀人罪,crime_definition
交通事故私了后还能反悔吗,traffic_accident
抢劫罪这个罪名怎么理解,crime_definition
民法典第1165条有哪些规定,article_query
开设赌场罪的基准刑是多少,sentencing
危险驾驶罪判三缓四是什么意思,sentencing
帮忙科普一下受贿罪,crime_definition
我想知道贪污罪指的是什么,crime_definition
敲诈勒索罪需要哪些证据才能定罪,crime_elements
把民法典第1191条发给我看看,article_query
刑法第266条的内容是什么,article_query
法律条文刑事诉讼法第67条是什么,article_query
未成年犯掩饰隐瞒犯罪所得罪怎么判,sentencing
能通俗解释下诈骗罪吗,crime_definition
刑法第266条第几款怎么规定的,article_query
职务侵占罪的概念是什么,crime_definition
认定偷税漏税罪要看哪些要件,crime_elements
寻衅滋事罪有自首情节能减多少刑,sentencing
查一下民法典第1165条说了什么,article_query
交通肇事罪到底是怎么回事,crime_definition
我想知道受贿罪指的是什么,crime_definition
掩饰隐瞒犯罪所得罪退赃了能从轻处罚吗,sentencing
把刑法第264条发给我看看,article_query
试用期最长是几个月,labor_dispute
能通俗解释下故意伤害罪吗,crime_definition
贪污罪判三缓四是什么意思,sentencing
职务侵占罪到底是怎么回事,crime_definition
刑法第266条具体内容能贴一下吗,article_query
偷税漏税罪的量刑标准是什么,sentencing
被警察带走了怎么办,criminal_procedure
刑法第266条讲的是什么,article_query
犯了强奸罪会判多久,sentencing
麻烦问一下,greeting
民法典第1062条的条文内容,article_query
公司扣工资合法吗,labor_dispute
把消费者权益保护法第55条发给我看看,article_query
诈骗罪属于什么类型的犯罪,crime_definition
认定故意杀人罪要看哪些要件,crime_elements
偷税漏税罪到底是怎么回事,crime_definition
道路交通安全法第91条讲的是什么,article_query
掩饰隐瞒犯罪所得罪到底是怎么回事,crime_definition
民法典第1165条讲的是什么,article_query
被人打伤了可以要求哪些赔偿,civil_compensation
我想了解一下受贿罪,crime_definition
强奸罪的构成要件有哪些,crime_elements
危险驾驶罪退赃了能从轻处罚吗,sentencing
开设赌场罪的犯罪构成是什么,crime_elements
能通俗解释下贪污罪吗,crime_definition
能不能简单介绍一下贩卖毒品罪,crime_definition
故意杀人罪的立案标准是什么,crime_elements
法院认定贩卖毒品罪主要看什么,crime_elements
故意杀人罪法定刑是多少,sentencing
买卖合同质量有问题谁负责,contract_dispute
对方全责不赔钱怎么办,traffic_accident
初犯交通肇事罪会轻判吗,sentencing
把劳动合同法第46条发给我看看,article_query
劳动合同法第38条的条文内容,article_query
犯了非法拘禁罪会判多久,sentencing
诈骗罪主体要件有哪些要求,crime_elements
盗窃罪主体要件有哪些要求,crime_elements
请问刑法第234条规定了什么,article_query
民法典第1084条具体内容能贴一下吗,article_query
你好，第一次用,greeting
刑法第266条是怎么规定的,article_query
交通肇事罪的定罪标准是什么,crime_elements
离婚后抚养费怎么算,family_law
寻衅滋事罪需要哪些证据才能定罪,crime_elements
帮我解释一下强奸罪这个词,crime_definition
涉案金额十万元，交通肇事罪会怎么判,sentencing
认定盗窃罪要看哪些要件,crime_elements
怎么样才算构成交通肇事罪,crime_elements
劳动合同法第46条讲的是什么,article_query
能给我解释一下故意杀人罪吗,crime_definition
诈骗罪法定刑是多少,sentencing
交通肇事罪的犯罪构成是什么,crime_elements
法律条文道路交通安全法第91条是什么,article_query
掩饰隐瞒犯罪所得罪的概念是什么,crime_definition
消费者权益保护法第55条具体内容能贴一下吗,article_query
麻烦讲讲开设赌场罪是什么罪,crime_definition
民法典第1084条的条文内容,article_query
盗窃罪具体指什么,crime_definition
在商场摔倒受伤谁来赔,civil_compensation
太感谢了,thanks_bye
民法典第1165条的内容是什么,article_query
民法典第1165条的条文内容,article_query
非法拘禁罪的犯罪构成是什么,crime_elements
怎么样才算构成诈骗罪,crime_elements
职务侵占罪有自首情节能减多少刑,sentencing
诈骗罪的量刑标准是什么,sentencing
查一下劳动合同法第46条说了什么,article_query
你好,greeting
交通肇事罪的基准刑是多少,sentencing
经济补偿金按什么标准算,labor_dispute
法院认定开设赌场罪主要看什么,crime_elements
彩礼钱离婚时能要回来吗,family_law
强奸罪退赃了能从轻处罚吗,sentencing
危险驾驶罪需要哪些证据才能定罪,crime_elements
被降薪可以拒绝吗,labor_dispute
贪污罪有自首情节能减多少刑,sentencing
交通肇事罪的含义是什么,crime_definition
偷税漏税罪的定罪标准是什么,crime_elements
刑事诉讼法第67条的内容是什么,article_query
诈骗罪最多判多少年,sentencing
故意伤害罪判死刑吗,sentencing
开设赌场罪的定义是什么,crime_definition
故意杀人罪属于什么类型的犯罪,crime_definition
涉案金额两千元，故意杀人罪会怎么判,sentencing
民法典第1062条第几款怎么规定的,article_query
多少钱构成非法拘禁罪,crime_elements
在停车场摔倒受伤谁来赔,civil_compensation
帮我解释一下帮助信息网络犯罪活动罪这个词,crime_definition
敲诈勒索罪有自首情节能减多少刑,sentencing
寻衅滋事罪法定刑是多少,sentencing
非常感谢,thanks_bye
离婚冷静期是多长时间,family_law
故意杀人罪判死刑吗,sentencing
帮我查一下民法典第1062条,article_query
盗窃罪法定刑是多少,sentencing
好的，感谢解答,thanks_bye
多少钱构成抢劫罪,crime_elements
抢劫罪判死刑吗,sentencing
多少钱构成盗窃罪,crime_elements
职务侵占罪一般判几年,sentencing
怎么样才算构成敲诈勒索罪,crime_elements
满足什么条件就构成非法集资罪了,crime_elements
犯了受贿罪会判多久,sentencing
误工费怎么计算,traffic_accident
被裁员能拿多少补偿金,labor_dispute
盗窃罪最多判多少年,sentencing
法院认定偷税漏税罪主要看什么,crime_elements
帮我解释一下掩饰隐瞒犯罪所得罪这个词,crime_definition
抢劫罪的主观要件是什么,crime_elements
帮我解释一下故意伤害罪这个词,crime_definition
人身损害赔偿包括哪些项目,civil_compensation
满足什么条件就构成故意伤害罪了,crime_elements
车祸导致骨折能评几级伤残,traffic_accident
刑事诉讼法第67条是怎么规定的,article_query
帮我查一下刑法第133条,article_query
抢劫罪的概念是什么,crime_definition
我想看民法典第1079条全文,article_query
故意伤害罪属于什么类型的犯罪,crime_definition
请提供刑法第234条的具体条文,article_query
寻衅滋事罪的构成要件有哪些,crime_elements
故意伤害罪的主观要件是什么,crime_elements
劳动合同法第46条有哪些规定,article_query
帮我查一下民法典第1191条,article_query
掩饰隐瞒犯罪所得罪的构成要件有哪些,crime_elements
能通俗解释下开设赌场罪吗,crime_definition
协议离婚要准备什么材料,family_law
贩卖毒品罪的构成要件有哪些,crime_elements
职务侵占罪属于什么类型的犯罪,crime_definition
民法典第1183条的条文内容,article_query
敲诈勒索罪是什么意思,crime_definition
交通肇事罪判三缓四是什么意思,sentencing
拖欠工资可以报警吗,labor_dispute
劳动合同法第38条有哪些规定,article_query
强奸罪的主观要件是什么,crime_elements
帮我查一下刑事诉讼法第67条,article_query
认定强奸罪要看哪些要件,crime_elements
寻衅滋事罪的含义是什么,crime_definition
诈骗罪的定罪标准是什么,crime_elements
抢劫罪最多判多少年,sentencing
民法典第1079条的条文内容,article_query
敲诈勒索罪的概念是什么,crime_definition
民法典第1084条有哪些规定,article_query
强奸罪是什么意思,crime_definition
掩饰隐瞒犯罪所得罪最少判多久,sentencing
抢劫罪退赃了能从轻处罚吗,sentencing
涉案金额十万元，强奸罪会怎么判,sentencing
请提供劳动合同法第38条的具体条文,article_query
掩饰隐瞒犯罪所得罪的定义是什么,crime_definition
我想了解一下危险驾驶罪,crime_definition
非法拘禁罪的定罪标准是什么,crime_elements
开设赌场罪的犯罪客体是什么,crime_elements
能不能简单介绍一下诈骗罪,crime_definition
强奸罪判死刑吗,sentencing
麻烦讲讲故意伤害罪是什么罪,crime_definition
开设赌场罪的定罪标准是什么,crime_elements
初犯职务侵占罪会轻判吗,sentencing
帮忙科普一下非法拘禁罪,crime_definition
醉驾会坐牢吗,traffic_accident
受贿罪退赃了能从轻处罚吗,sentencing
对方不同意离婚怎么办,family_law
强奸罪法定刑是多少,sentencing
盗窃罪是什么意思,crime_definition
麻烦讲讲交通肇事罪是什么罪,crime_definition
查一下刑法第266条说了什么,article_query
离婚时财产怎么分割,family_law
偷税漏税罪最少判多久,sentencing
刑法第133条讲的是什么,article_query
故意杀人罪主体要件有哪些要求,crime_elements
贪污罪是什么意思,crime_definition
职务侵占罪主体要件有哪些要求,crime_elements
受贿罪有自首情节能减多少刑,sentencing
盗窃罪的基准刑是多少,sentencing
非法拘禁罪属于什么类型的犯罪,crime_definition
非法拘禁罪的量刑标准是什么,sentencing
帮我解释一下贪污罪这个词,crime_definition
掩饰隐瞒犯罪所得罪判死刑吗,sentencing
偷税漏税罪一般判几年,sentencing
早上好,greeting
麻烦讲讲抢劫罪是什么罪,crime_definition
帮助信息网络犯罪活动罪属于什么类型的犯罪,crime_definition
刑事案件可以私了吗,criminal_procedure
再见,thanks_bye
法律条文刑法第133条是什么,article_query
职务侵占罪最多判多少年,sentencing
掩饰隐瞒犯罪所得罪具体指什么,crime_definition
寻衅滋事罪的犯罪构成是什么,crime_elements
故意杀人罪需要哪些证据才能定罪,crime_elements
受贿罪的犯罪构成是什么,crime_elements
查一下民法典第1062条说了什么,article_query
诈骗罪有自首情节能减多少刑,sentencing
认定贪污罪要看哪些要件,crime_elements
能给我解释一下强奸罪吗,crime_definition
麻烦讲讲强奸罪是什么罪,crime_definition
寻衅滋事罪的定义是什么,crime_definition
缓刑期间要遵守哪些规定,criminal_procedure
分居两年可以自动离婚吗,family_law
帮忙科普一下抢劫罪,crime_definition
孩子在学校受伤学校要负责吗,civil_compensation
民法典第1191条讲的是什么,article_query
强奸罪一般判几年,sentencing
非法集资罪具体指什么,crime_definition
盗窃五千元会判几年,sentencing
把民法典第1079条发给我看看,article_query
诈骗罪的主观要件是什么,crime_elements
故意杀人罪这个罪名怎么理解,crime_definition
故意杀人罪退赃了能从轻处罚吗,sentencing
我想看刑法第266条全文,article_query
能给我解释一下掩饰隐瞒犯罪所得罪吗,crime_definition
我想知道故意杀人罪指的是什么,crime_definition
认定危险驾驶罪要看哪些要件,crime_elements
涉案金额十万元，抢劫罪会怎么判,sentencing
犯了敲诈勒索罪会判多久,sentencing
偷税漏税罪主体要件有哪些要求,crime_elements
非法集资罪的含义是什么,crime_definition
满足什么条件就构成受贿罪了,crime_elements
交通肇事罪的犯罪客体是什么,crime_elements
什么时候可以请律师介入,criminal_procedure
能给我解释一下贪污罪吗,crime_definition
多少钱构成偷税漏税罪,crime_elements
职务侵占罪这个罪名怎么理解,crime_definition
开设赌场罪判三缓四是什么意思,sentencing
民法典第1165条第几款怎么规定的,article_query
帮助信息网络犯罪活动罪法定刑是多少,sentencing
故意伤害罪需要哪些证据才能定罪,crime_elements
非法集资罪有自首情节能减多少刑,sentencing
盗窃罪有自首情节能减多少刑,sentencing
口头协议有法律效力吗,contract_dispute
帮助信息网络犯罪活动罪的犯罪构成是什么,crime_elements
刑法第234条是怎么规定的,article_query
非法集资罪判三缓四是什么意思,sentencing
麻烦讲讲寻衅滋事罪是什么罪,crime_definition
我想了解一下寻衅滋事罪,crime_definition
故意杀人罪的量刑标准是什么,sentencing
请提供民法典第1165条的具体条文,article_query
非法集资罪的主观要件是什么,crime_elements
非法拘禁罪的立案标准是什么,crime_elements
法院认定交通肇事罪主要看什么,crime_elements
帮忙科普一下掩饰隐瞒犯罪所得罪,crime_definition
故意杀人罪的含义是什么,crime_definition
危险驾驶罪具体指什么,crime_definition
职务侵占罪的定义是什么,crime_definition
刑法第234条具体内容能贴一下吗,article_query
涉案金额两千元，故意伤害罪会怎么判,sentencing
劳动合同法第46条的条文内容,article_query
抢劫罪主体要件有哪些要求,crime_elements
诈骗罪最少判多久,sentencing
谢谢你，明白了,thanks_bye
请提供民法典第1191条的具体条文,article_query
刑法第234条第几款怎么规定的,article_query
劳动合同法第38条具体内容能贴一下吗,article_query
消费者权益保护法第55条是怎么规定的,article_query
伤残赔偿金按什么标准,civil_compensation
在公司摔倒受伤谁来赔,civil_compensation
故意伤害罪的犯罪客体是什么,crime_elements
帮忙科普一下贩卖毒品罪,crime_definition
麻烦讲讲偷税漏税罪是什么罪,crime_definition
受贿罪量刑时会考虑哪些因素,sentencing
我想了解一下贩卖毒品罪,crime_definition
贩卖毒品罪退赃了能从轻处罚吗,sentencing
认定贩卖毒品罪要看哪些要件,crime_elements
满足什么条件就构成交通肇事罪了,crime_elements
交通肇事罪是什么意思,crime_definition
我想了解一下抢劫罪,crime_definition
多谢指点,thanks_bye
构成危险驾驶罪需要满足什么条件,crime_elements
故意伤害罪主体要件有哪些要求,crime_elements
初犯抢劫罪会轻判吗,sentencing
危险驾驶罪判死刑吗,sentencing
偷税漏税罪具体指什么,crime_definition
多少钱构成诈骗罪,crime_elements
劳动合同法第46条是怎么规定的,article_query
故意杀人罪的定义是什么,crime_definition
诈骗罪的概念是什么,crime_definition
未成年犯寻衅滋事罪怎么判,sentencing
逮捕和拘留有什么区别,criminal_procedure
把民法典第1084条发给我看看,article_query
诉讼离婚要多少钱,family_law
合同解除后已付的钱能退吗,contract_dispute
能通俗解释下职务侵占罪吗,crime_definition
敲诈勒索罪判三缓四是什么意思,sentencing
帮助信息网络犯罪活动罪的犯罪客体是什么,crime_elements
请问民法典第1084条规定了什么,article_query
健身房受伤能索赔吗,civil_compensation
强奸罪的定义是什么,crime_definition
未成年犯故意杀人罪怎么判,sentencing
刑事诉讼法第67条具体内容能贴一下吗,article_query
你好呀,greeting
未成年犯贩卖毒品罪怎么判,sentencing
犯了抢劫罪会判多久,sentencing
寻衅滋事罪量刑时会考虑哪些因素,sentencing
帮我解释一下诈骗罪这个词,crime_definition
刑法第266条有哪些规定,article_query
批捕以后还能取保吗,criminal_procedure
多少钱构成贩卖毒品罪,crime_elements
敲诈勒索罪到底是怎么回事,crime_definition
能给我解释一下职务侵占罪吗,crime_definition
我想看民法典第1183条全文,article_query
未成年犯职务侵占罪怎么判,sentencing
